<Animal: void <init>()>/assign/0	0	<Animal: void <init>()>/@this	<Animal: void <init>()>/this#_0	<Animal: void <init>()>
<Animal: void play()>/assign/0	0	<Animal: void play()>/@this	<Animal: void play()>/this#_0	<Animal: void play()>
<Animal: Animal playWith(Animal)>/assign/0	0	<Animal: Animal playWith(Animal)>/@this	<Animal: Animal playWith(Animal)>/this#_0	<Animal: Animal playWith(Animal)>
<Animal: Animal playWith(Animal)>/assign/1	1	<Animal: Animal playWith(Animal)>/@parameter0	<Animal: Animal playWith(Animal)>/other#_0	<Animal: Animal playWith(Animal)>
<Dog: void <init>()>/assign/0	0	<Dog: void <init>()>/@this	<Dog: void <init>()>/this#_0	<Dog: void <init>()>
<Dog: void play()>/assign/0	0	<Dog: void play()>/@this	<Dog: void play()>/this#_0	<Dog: void play()>
<Pointer: void <init>()>/assign/0	0	<Pointer: void <init>()>/@this	<Pointer: void <init>()>/this#_0	<Pointer: void <init>()>
<Pointer: void main(java.lang.String[])>/assign/0	0	<Pointer: void main(java.lang.String[])>/@parameter0	<Pointer: void main(java.lang.String[])>/args#_0	<Pointer: void main(java.lang.String[])>
<Pointer: void main(java.lang.String[])>/assign/5	10	<Pointer: void main(java.lang.String[])>/$stack6	<Pointer: void main(java.lang.String[])>/buffer#_9	<Pointer: void main(java.lang.String[])>
<Pointer: void main(java.lang.String[])>/assign/7	12	<Pointer: void main(java.lang.String[])>/$stack9	<Pointer: void main(java.lang.String[])>/line#_12	<Pointer: void main(java.lang.String[])>
<Pointer: void main(java.lang.String[])>/assign/12	20	<Pointer: void main(java.lang.String[])>/$stack14	<Pointer: void main(java.lang.String[])>/result#_14	<Pointer: void main(java.lang.String[])>
<Pointer: void sanitize(java.lang.Object)>/assign/0	0	<Pointer: void sanitize(java.lang.Object)>/@parameter0	<Pointer: void sanitize(java.lang.Object)>/o#_0	<Pointer: void sanitize(java.lang.Object)>
<Pointer: void test(int)>/assign/0	0	<Pointer: void test(int)>/@this	<Pointer: void test(int)>/this#_0	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/1	1	<Pointer: void test(int)>/@parameter0	<Pointer: void test(int)>/l#_0	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/3	5	<Pointer: void test(int)>/$stack6	<Pointer: void test(int)>/a_$$A_1#_26	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/5	9	<Pointer: void test(int)>/$stack4	<Pointer: void test(int)>/a_$$A_1_$$A_1#_28	<Pointer: void test(int)>
<Pointer: void test(int)>/phi-assign/0	10	<Pointer: void test(int)>/a_$$A_1#_26	<Pointer: void test(int)>/a_$$A_1_$$A_2#_29	<Pointer: void test(int)>
<Pointer: void test(int)>/phi-assign/1	11	<Pointer: void test(int)>/a_$$A_1_$$A_1#_28	<Pointer: void test(int)>/a_$$A_1_$$A_2#_29	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/7	12	<Pointer: void test(int)>/a_$$A_1_$$A_2#_29	<Pointer: void test(int)>/$stack7	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/9	16	<Pointer: void test(int)>/$stack5	<Pointer: void test(int)>/c1#_32	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/10	17	<Pointer: void test(int)>/this#_0	<Pointer: void test(int)>/$stack9	<Pointer: void test(int)>
<Pointer: void test(int)>/assign/11	18	<Pointer: void test(int)>/c1#_32	<Pointer: void test(int)>/$stack8	<Pointer: void test(int)>
<Pointer: void morePlay(Cat)>/assign/0	0	<Pointer: void morePlay(Cat)>/@this	<Pointer: void morePlay(Cat)>/this#_0	<Pointer: void morePlay(Cat)>
<Pointer: void morePlay(Cat)>/assign/1	1	<Pointer: void morePlay(Cat)>/@parameter0	<Pointer: void morePlay(Cat)>/c#_0	<Pointer: void morePlay(Cat)>
<Pointer: void morePlay(Cat)>/assign/3	3	<Pointer: void morePlay(Cat)>/$stack5	<Pointer: void morePlay(Cat)>/p#_38	<Pointer: void morePlay(Cat)>
<Pointer: void morePlay(Cat)>/assign/5	6	<Pointer: void morePlay(Cat)>/$stack6	<Pointer: void morePlay(Cat)>/a1#_41	<Pointer: void morePlay(Cat)>
<Pointer: void morePlay(Cat)>/assign/7	8	<Pointer: void morePlay(Cat)>/$stack7	<Pointer: void morePlay(Cat)>/a2#_42	<Pointer: void morePlay(Cat)>
<Cat: void <init>()>/assign/0	0	<Cat: void <init>()>/@this	<Cat: void <init>()>/this#_0	<Cat: void <init>()>
<Cat: void setParent(Cat)>/assign/0	0	<Cat: void setParent(Cat)>/@this	<Cat: void setParent(Cat)>/this#_0	<Cat: void setParent(Cat)>
<Cat: void setParent(Cat)>/assign/1	1	<Cat: void setParent(Cat)>/@parameter0	<Cat: void setParent(Cat)>/c#_0	<Cat: void setParent(Cat)>
<Cat: Cat getParent()>/assign/0	0	<Cat: Cat getParent()>/@this	<Cat: Cat getParent()>/this#_0	<Cat: Cat getParent()>
<Cat: void play()>/assign/0	0	<Cat: void play()>/@this	<Cat: void play()>/this#_0	<Cat: void play()>
