<Cat: Cat getParent()>	Cat()
<Cat: void setParent(Cat)>	void(Cat)
<Pointer: void main(java.lang.String[])>	void(java.lang.String[])
<Pointer: void test(int)>	void(int)
<Pointer: void sanitize(java.lang.Object)>	void(java.lang.Object)
<Cat: void <init>()>	void()
<Pointer: void morePlay(Cat)>	void(Cat)
<Cat: void play()>	void()
<Pointer: void <init>()>	void()
<Dog: void play()>	void()
<Animal: void play()>	void()
<Animal: Animal playWith(Animal)>	Animal(Animal)
<Dog: void <init>()>	void()
<Animal: void <init>()>	void()
