<Cat: void play()>	<Cat: void play()>/@this
<Animal: Animal playWith(Animal)>	<Animal: Animal playWith(Animal)>/@this
<Pointer: void test(int)>	<Pointer: void test(int)>/@this
<Animal: void play()>	<Animal: void play()>/@this
<Dog: void play()>	<Dog: void play()>/@this
<Cat: void <init>()>	<Cat: void <init>()>/@this
<Pointer: void <init>()>	<Pointer: void <init>()>/@this
<Pointer: void morePlay(Cat)>	<Pointer: void morePlay(Cat)>/@this
<Animal: void <init>()>	<Animal: void <init>()>/@this
<Cat: void setParent(Cat)>	<Cat: void setParent(Cat)>/@this
<Dog: void <init>()>	<Dog: void <init>()>/@this
<Cat: Cat getParent()>	<Cat: Cat getParent()>/@this
