<Pointer: void test(int)>	<Pointer: void test(int)>/@this
<Cat: void setParent(Cat)>	<Cat: void setParent(Cat)>/@this
<Cat: void <init>()>	<Cat: void <init>()>/@this
<Cat: void play()>	<Cat: void play()>/@this
<Pointer: void <init>()>	<Pointer: void <init>()>/@this
<Dog: void play()>	<Dog: void play()>/@this
<Animal: void play()>	<Animal: void play()>/@this
<Animal: Animal playWith(Animal)>	<Animal: Animal playWith(Animal)>/@this
<Dog: void <init>()>	<Dog: void <init>()>/@this
<Pointer: void morePlay(Cat)>	<Pointer: void morePlay(Cat)>/@this
<Animal: void <init>()>	<Animal: void <init>()>/@this
<Cat: Cat getParent()>	<Cat: Cat getParent()>/@this
