<Cat: void setParent(Cat)>	void(Cat)
<Cat: Cat getParent()>	Cat()
<Pointer: void main(java.lang.String[])>	void(java.lang.String[])
<Pointer: void test(int)>	void(int)
<Animal: void <init>()>	void()
<Animal: void play()>	void()
<Animal: Animal playWith(Animal)>	Animal(Animal)
<Pointer: void <init>()>	void()
<Pointer: void sanitize(java.lang.Object)>	void(java.lang.Object)
<Pointer: void morePlay(Cat)>	void(Cat)
<Dog: void <init>()>	void()
<Dog: void play()>	void()
<Cat: void <init>()>	void()
<Cat: void play()>	void()
